Passenger,Origin,Dest,Entry Time,Waiting Time,Boarding Time,Promise Board,Travel Time,Alighting Time,Promise Alight,Bus Selected,Bus Route Passengers,Bus Route Locations,Alight Difference,Board Difference
1,V,U,2009-01-01 09:06:37,00:06:22,2009-01-01 09:12:59,2009-01-01 09:42:37,00:06:00,2009-01-01 09:18:59,2009-01-01 09:48:37,5,"[1, 8, 1, -1, -1, -1, 8]","['V', 'U', 'U', 'Q', 'M', 'S', 'Y']",00:29:38,00:29:38
2,H,F,2009-01-01 09:07:03,00:06:01,2009-01-01 09:13:04,2009-01-01 09:43:03,00:12:00,2009-01-01 09:25:04,2009-01-01 09:55:03,2,"[2, 9, -1, 2, 9]","['H', 'H', 'B', 'F', 'F']",00:29:59,00:29:59
9,H,F,2009-01-01 09:13:04,00:00:00,2009-01-01 09:13:04,2009-01-01 09:43:04,00:12:00,2009-01-01 09:25:04,2009-01-01 09:55:04,2,"[2, 9, -1, 2, 9]","['H', 'H', 'B', 'F', 'F']",00:30:00,00:30:00
3,G,M,2009-01-01 09:08:17,00:12:14,2009-01-01 09:20:31,2009-01-01 09:44:17,00:06:00,2009-01-01 09:26:31,2009-01-01 09:50:17,1,"[3, 3, 12, 19, 12, -1, -1, -1, 19]","['G', 'M', 'I', 'D', 'D', 'H', 'L', 'P', 'U']",00:23:46,00:23:46
10,H,C,2009-01-01 09:15:35,00:08:54,2009-01-01 09:24:29,2009-01-01 09:51:35,00:06:00,2009-01-01 09:30:29,2009-01-01 09:57:35,7,"[-1, 10, 10, -1, 16, -1, 16]","['N', 'H', 'C', 'G', 'K', 'G', 'C']",00:27:06,00:27:06
7,X,O,2009-01-01 09:12:57,00:08:50,2009-01-01 09:21:47,2009-01-01 09:48:57,00:12:00,2009-01-01 09:33:47,2009-01-01 10:00:57,0,"[7, 21, 7, 17, 21, -1, 17]","['X', 'S', 'O', 'I', 'I', 'M', 'Q']",00:27:10,00:27:10
4,Q,P,2009-01-01 09:08:59,00:22:44,2009-01-01 09:31:43,2009-01-01 09:44:59,00:06:00,2009-01-01 09:37:43,2009-01-01 09:50:59,8,"[4, 15, 26, 28, 31, 4, -1, 28, -1, 25, 15, 31, -1, -1, 26, 25]","['Q', 'V', 'P', 'P', 'P', 'P', 'L', 'R', 'N', 'T', 'T', 'T', 'N', 'H', 'C', 'D']",00:13:16,00:13:16
18,L,B,2009-01-01 09:20:08,00:06:00,2009-01-01 09:26:08,2009-01-01 09:56:08,00:12:00,2009-01-01 09:38:08,2009-01-01 10:08:08,3,"[6, 18, -1, 18, -1, -1, 6]","['H', 'L', 'F', 'B', 'C', 'D', 'E']",00:30:00,00:30:00
12,I,D,2009-01-01 09:16:20,00:16:11,2009-01-01 09:32:31,2009-01-01 09:58:20,00:06:00,2009-01-01 09:38:31,2009-01-01 10:04:20,1,"[3, 3, 12, 19, 12, -1, -1, -1, 19]","['G', 'M', 'I', 'D', 'D', 'H', 'L', 'P', 'U']",00:25:49,00:25:49
20,E,C,2009-01-01 09:20:34,00:06:00,2009-01-01 09:26:34,2009-01-01 09:56:34,00:12:00,2009-01-01 09:38:34,2009-01-01 10:08:34,4,"[-1, 5, 20, -1, 20, -1, 5]","['D', 'E', 'E', 'D', 'C', 'B', 'A']",00:30:00,00:30:00
